('F1B110048','Pengklasifikasian Warna Kulit Berdasarkan RAS Menggunakan Algoritma Support Vector Machine (SVM)'),
('F1B110026','Klasifikasi Jenis Kulit Menggunakan Algoritma K - Nearest Neighbour (K-NN)'),
('F1B009081','Pengenalan Citra Negatif (Pornografi) Menggunakan Shape Analysis Dan LDA'),
('F1B009012','Estimasi Redaman Hujan Untuk Kanal Komunikasi Satelit'),
('F1B009066','Pengenalan Citra Negatif (Pornografi) Menggunakan Wavelet Analysis dan LDA'),
('F1B010021','Studi Pengolahan Sinyal Geomagnetik sebagai Prekursor Gempa Bumi di Regional Lombok'),
('F1B010002','Analisis Kontingensi Terhadap Unjuk Kerja dan Keandalan Komposit Generator dan Transmisi pada Sistem Kelistrikan Lombok'),
('F1B110079','Pencairan dan Pengurusan Data Kependudukan Provinsi Nusa Tenggara Barat Menggunakan Visual C++'),
('F1B009070','Perancangan Simulator Rangkaian Logika Dengan Visual C++'),
('F1B009008','Penentuan Daya Listrik Untuk Penerangan Buatan Suatu Ruangan Menggunakan Logika Fuzzy'),
('F1B009036','Rancang Bangun Automatic Transfer Switch/Automatic Main Failure Berbasis Programmable Logic Controller'),
('F1B010056','Analisis Trend Perubahan Amplitudo Gempa Gunung Rinjani Kaitan dengan Event Gempa Tektonik Wilayah Pulau Lombok'),
('F1B010080','Koordinasi Proteksi Rele Jarak (Distance Relay) pada Saluran Udara Tegangan Tinggi (SUTT) 150 Kv Sistem Kelistrikan Lombok'),
('F1B010007','Analisis Data Geomagnetik Menggunakan Metode Polarisasi Magnetik Kaitannya dengan Gempa Bumi di Regional Lombok'),
('F1B110021','Pengukuran Jarak Objek Menggunakan Kamera Stereo (Stereo Vision) dengan Metode Triangulasi Geometri'),
('F1B008061','Perbandingan Kontinu dan Diskontinu SVPWM pada Inverter 2-Level 3-Phasa untuk Pengendali Motor Induksi Menggunakan ATMEGA328P'),
('F1B009019','Peramalan Beban Listrik Jangka Pendek pada Sistem Kelistrikan Lombok dengan Fuzzy Time Series (FTS)')
