'nim','kodemk','nilaiH','TA'
'F1B110078','EL3101','C+','2013/2014'
'F1B111002','EL3101','C','2013/2014'
'F1B111014','EL3101','C+','2013/2014'
'F1B111021','EL3101','B','2013/2014'
'F1B111029','EL3101','B+','2013/2014'
'F1B111030','EL3101','C','2013/2014'
'F1B111031','EL3101','B','2013/2014'
'F1B111041','EL3101','D','2013/2014'
'F1B111043','EL3101','D+','2013/2014'
'F1B111053','EL3101','D+','2013/2014'
'F1B111059','EL3101','C','2013/2014'
'F1B111063','EL3101','C+','2013/2014'
'F1B111077','EL3101','E','2013/2014'
'F1B111079','EL3101','B+','2013/2014'
'F1B111088','EL3101','D','2013/2014'
'F1B113035','EL3101','K','2013/2014'
'F1B110001','ET3012','C+','2013/2014'
'F1B110014','ET3012','B','2013/2014'
'F1B110015','ET3012','B','2013/2014'
'F1B110020','ET3012','B+','2013/2014'
'F1B110030','ET3012','B','2013/2014'
'F1B110038','ET3012','B+','2013/2014'
'F1B110040','ET3012','C','2013/2014'
'F1B110041','ET3012','B','2013/2014'
'F1B110056','ET3012','C+','2013/2014'
'F1B110070','ET3012','C+','2013/2014'
'F1B110072','ET3012','B','2013/2014'
'F1B110073','ET3012','B','2013/2014'
'F1B110076','ET3012','C+','2013/2014'
'F1B111017','ET3012','B','2013/2014'
'F1B111070','ET3012','B','2013/2014'
'F1B110005','EE4109','E','2013/2014'
'F1B110028','EE4109','D','2013/2014'
'F1B110033','EE4109','E','2013/2014'
'F1B110036','EE4109','E','2013/2014'
'F1B110063','EE4109','E','2013/2014'
'F1B110067','EE4109','E','2013/2014'
'F1B111006','EE4109','C','2013/2014'
'F1B111007','EE4109','E','2013/2014'
'F1B111008','EE4109','E','2013/2014'
'F1B111009','EE4109','E','2013/2014'
'F1B111011','EE4109','E','2013/2014'
'F1B111019','EE4109','D','2013/2014'
'F1B111027','EE4109','C+','2013/2014'
'F1B111033','EE4109','D','2013/2014'
'F1B111035','EE4109','C+','2013/2014'
'F1B111045','EE4109','E','2013/2014'
'F1B111051','EE4109','D','2013/2014'
'F1B111056','EE4109','C','2013/2014'
'F1B111062','EE4109','D','2013/2014'
'F1B111066','EE4109','C','2013/2014'
'F1B111072','EE4109','D','2013/2014'
'F1B111087','EE4109','D+','2013/2014'
