'NIM','Kode MK','Nilai Huruf','Kelas',,'Semester'
'F1B011055','ES1101','B+','NULL',,20151
'F1B012022','ES1101','B+','NULL',,20151
'F1B015001','ES1101','A','NULL',,20151
'F1B015002','ES1101','B+','NULL',,20151
'F1B015003','ES1101','A','NULL',,20151
'F1B015004','ES1101','B','NULL',,20151
'F1B015005','ES1101','B+','NULL',,20151
'F1B015007','ES1101','B','NULL',,20151
'F1B015008','ES1101','B','NULL',,20151
'F1B015009','ES1101','A','NULL',,20151
'F1B015010','ES1101','B','NULL',,20151
'F1B015012','ES1101','B+','NULL',,20151
'F1B015013','ES1101','B+','NULL',,20151
'F1B015014','ES1101','B+','NULL',,20151
'F1B015015','ES1101','B','NULL',,20151
'F1B015016','ES1101','B','NULL',,20151
'F1B015017','ES1101','A','NULL',,20151
'F1B015018','ES1101','A','NULL',,20151
'F1B015019','ES1101','B+','NULL',,20151
'F1B015020','ES1101','B+','NULL',,20151
'F1B015021','ES1101','B','NULL',,20151
'F1B015022','ES1101','B','NULL',,20151
'F1B015025','ES1101','B+','NULL',,20151
'F1B015032','ES1101','A','NULL',,20151
'F1B015033','ES1101','B','NULL',,20151
'F1B015034','ES1101','B','NULL',,20151
'F1B015035','ES1101','A','NULL',,20151
'F1B015036','ES1101','B+','NULL',,20151
'F1B015037','ES1101','A','NULL',,20151
'F1B015038','ES1101','B','NULL',,20151
'F1B015039','ES1101','B+','NULL',,20151
'F1B015040','ES1101','B+','NULL',,20151
'F1B015041','ES1101','A','NULL',,20151
'F1B015042','ES1101','B','NULL',,20151
'F1B015043','ES1101','A','NULL',,20151
'F1B015044','ES1101','B+','NULL',,20151
'F1B015045','ES1101','E','NULL',,20151
'F1B015046','ES1101','B+','NULL',,20151
'F1B015047','ES1101','B+','NULL',,20151
'F1B015048','ES1101','B+','NULL',,20151
'F1B015049','ES1101','B','NULL',,20151
'F1B015050','ES1101','B','NULL',,20151
'F1B015051','ES1101','B+','NULL',,20151
'F1B015052','ES1101','B+','NULL',,20151
'F1B015053','ES1101','B','NULL',,20151
'F1B015055','ES1101','A','NULL',,20151
'F1B015056','ES1101','A','NULL',,20151
'F1B015057','ES1101','B','NULL',,20151
'F1B015058','ES1101','B','NULL',,20151
'F1B015059','ES1101','B+','NULL',,20151
'F1B015060','ES1101','B+','NULL',,20151
'F1B015062','ES1101','B+','NULL',,20151
'F1B015063','ES1101','A','NULL',,20151
'F1B015064','ES1101','B+','NULL',,20151
'F1B015065','ES1101','A','NULL',,20151
'F1B015066','ES1101','B+','NULL',,20151
'F1B015068','ES1101','A','NULL',,20151
'F1B015070','ES1101','B','NULL',,20151
'F1B015071','ES1101','B','NULL',,20151
'F1B015073','ES1101','B+','NULL',,20151
'F1B015074','ES1101','B+','NULL',,20151
'F1B015075','ES1101','B+','NULL',,20151
'F1B015076','ES1101','B+','NULL',,20151
'F1B015077','ES1101','B+','NULL',,20151
'F1B015078','ES1101','B+','NULL',,20151
'F1B015079','ES1101','B+','NULL',,20151
'F1B015080','ES1101','A','NULL',,20151
'F1B015081','ES1101','A','NULL',,20151
'F1B015082','ES1101','A','NULL',,20151
'F1B015083','ES1101','B+','NULL',,20151
'F1B015084','ES1101','B+','NULL',,20151
'F1B015085','ES1101','B+','NULL',,20151
'F1B015086','ES1101','A','NULL',,20151
'F1B015087','ES1101','A','NULL',,20151
'F1B015088','ES1101','B+','NULL',,20151
'F1B015089','ES1101','A','NULL',,20151
'F1B015090','ES1101','A','NULL',,20151
'F1B015092','ES1101','B+','NULL',,20151
'F1B010051','ES1108','A','NULL',,20151
