'NIM','KODE_MK','NILAI','KELAS','THN_AJAR'
'F1B014005','EA4112','E','P','2018/2019'
'F1B014025','EA4112','E','P','2018/2019'
'F1B014030','EA4112','E','P','2018/2019'
'F1B014031','EA4112','E','P','2018/2019'
'F1B014064','EA4112','E','P','2018/2019'
'F1B014102','EA4112','E','P','2018/2019'
'F1B015002','EA4112','C','P','2018/2019'
'F1B015008','EA4112','D+','P','2018/2019'
'F1B015019','EA4112','C','P','2018/2019'
'F1B015021','EA4112','B','P','2018/2019'
'F1B015022','EA4112','C','P','2018/2019'
'F1B015031','EA4112','B','P','2018/2019'
'F1B015032','EA4112','C','P','2018/2019'
'F1B015046','EA4112','C','P','2018/2019'
'F1B015050','EA4112','C','P','2018/2019'
'F1B015055','EA4112','C','P','2018/2019'
'F1B015063','EA4112','B+','P','2018/2019'
'F1B015069','EA4112','B','P','2018/2019'
'F1B015071','EA4112','D','P','2018/2019'
'F1B015073','EA4112','B','P','2018/2019'
'F1B015074','EA4112','C','P','2018/2019'
'F1B015075','EA4112','B','P','2018/2019'
'F1B015077','EA4112','C+','P','2018/2019'
'F1B015081','EA4112','C+','P','2018/2019'
'F1B015082','EA4112','C+','P','2018/2019'
'F1B015084','EA4112','A','P','2018/2019'
'F1B015086','EA4112','B','P','2018/2019'
'F1B015087','EA4112','B+','P','2018/2019'
