'NIM','KODE_MK','NILAI','KELAS','THN_AJAR'
'F1B013032',' ES2124','E','A','2018/2019'
'F1B014101',' ES2124','B','A','2018/2019'
'F1B014102',' ES2124','E','A','2018/2019'
'F1B017001',' ES2124','C','A','2018/2019'
'F1B017002',' ES2124','B+','A','2018/2019'
'F1B017003',' ES2124','E','A','2018/2019'
'F1B017011',' ES2124','C+','A','2018/2019'
'F1B017012',' ES2124','C','A','2018/2019'
'F1B017013',' ES2124','C','A','2018/2019'
'F1B017020',' ES2124','C+','A','2018/2019'
'F1B017022',' ES2124','B','A','2018/2019'
'F1B017030',' ES2124','C+','A','2018/2019'
'F1B017032',' ES2124','B','A','2018/2019'
'F1B017033',' ES2124','C','A','2018/2019'
'F1B017042',' ES2124','A','A','2018/2019'
'F1B017043',' ES2124','C','A','2018/2019'
'F1B017050',' ES2124','C','A','2018/2019'
'F1B017051',' ES2124','C','A','2018/2019'
'F1B017052',' ES2124','B','A','2018/2019'
'F1B017053',' ES2124','C','A','2018/2019'
'F1B017060',' ES2124','C','A','2018/2019'
'F1B017061',' ES2124','B','A','2018/2019'
'F1B017062',' ES2124','A','A','2018/2019'
'F1B017063',' ES2124','C+','A','2018/2019'
'F1B017070',' ES2124','A','A','2018/2019'
'F1B017071',' ES2124','C','A','2018/2019'
'F1B017072',' ES2124','C+','A','2018/2019'
'F1B017080',' ES2124','C','A','2018/2019'
'F1B017081',' ES2124','C','A','2018/2019'
'F1B017082',' ES2124','C','A','2018/2019'
'F1B017083',' ES2124','C+','A','2018/2019'
'F1B017090',' ES2124','C','A','2018/2019'
'F1B017091',' ES2124','B','A','2018/2019'
'F1B017092',' ES2124','C','A','2018/2019'
'F1B017093',' ES2124','C','A','2018/2019'
