'NIM','Kode MK','Nilai Huruf','Kelas','Semester'
'F1B013007','TPB12301','C','NULL',20152
'F1B014025','TPB12301','C','NULL','2015/2016'
'F1B014027','TPB12301','D+','NULL','2015/2016'
'F1B014047','TPB12301','D+','NULL','2015/2016'
'F1B014060','TPB12301','D','NULL','2015/2016'
'F1B014062','TPB12301','D','NULL','2015/2016'
'F1B014073','TPB12301','D','NULL','2015/2016'
'F1B014074','TPB12301','D+','NULL','2015/2016'
'F1B014076','TPB12301','D','NULL','2015/2016'
'F1B014082','TPB12301','D+','NULL','2015/2016'
'F1B014083','TPB12301','D+','NULL','2015/2016'
'F1B014084','TPB12301','D+','NULL','2015/2016'
'F1B015008','TPB12301','C','NULL','2015/2016'
'F1B015009','TPB12301','D+','NULL','2015/2016'
'F1B015033','TPB12301','C','NULL','2015/2016'
'F1B015048','TPB12301','C','NULL','2015/2016'
'F1B015065','TPB12301','C+','NULL','2015/2016'
'F1B015074','TPB12301','C','NULL','2015/2016'
'F1B015092','TPB12301','C+','NULL','2015/2016'
'F1B212084','TPB12301','C+','NULL','2015/2016'
'F1B212090','TPB12301','D+','NULL','2015/2016'
'F1B012001','TPB14212','C','A','2015/2016'
'F1B012004','TPB14212','B','B','2015/2016'
'F1B012009','TPB14212','B','A','2015/2016'
'F1B012022','TPB14212','B','B','2015/2016'
'F1B012025','TPB14212','B','A','2015/2016'
'F1B012030','TPB14212','B','B','2015/2016'
'F1B012045','TPB14212','B+','A','2015/2016'
'F1B012047','TPB14212','C+','A','2015/2016'
'F1B012055','TPB14212','C+','A','2015/2016'
'F1B012067','TPB14212','C','A','2015/2016'
'F1B012069','TPB14212','D+','A','2015/2016'
'F1B012076','TPB14212','B','B','2015/2016'
'F1B012082','TPB14212','B','B','2015/2016'
'F1B012087','TPB14212','B','A','2015/2016'
'F1B012096','TPB14212','B+','B','2015/2016'
'F1B014006','TPB14212','B+','B','2015/2016'
'F1B014008','TPB14212','D+','B','2015/2016'
'F1B014066','TPB14212','B+','B','2015/2016'
'F1B014080','TPB14212','E','B','2015/2016'
'F1B015001','TPB14212','B+','A','2015/2016'
'F1B015002','TPB14212','C','B','2015/2016'
'F1B015003','TPB14212','B','A','2015/2016'
'F1B015005','TPB14212','B+','A','2015/2016'
'F1B015006','TPB14212','C+','B','2015/2016'
'F1B015007','TPB14212','B','A','2015/2016'
'F1B015008','TPB14212','D+','B','2015/2016'
'F1B015009','TPB14212','C+','A','2015/2016'
'F1B015010','TPB14212','D+','B','2015/2016'
'F1B015011','TPB14212','E','A','2015/2016'
'F1B015012','TPB14212','C+','B','2015/2016'
'F1B015013','TPB14212','B','A','2015/2016'
'F1B015014','TPB14212','C','B','2015/2016'
'F1B015015','TPB14212','C','A','2015/2016'
'F1B015016','TPB14212','D','B','2015/2016'
'F1B015017','TPB14212','A','A','2015/2016'
'F1B015018','TPB14212','C','B','2015/2016'
'F1B015019','TPB14212','C+','A','2015/2016'
'F1B015020','TPB14212','B','B','2015/2016'
'F1B015021','TPB14212','C+','A','2015/2016'
'F1B015025','TPB14212','E','A','2015/2016'
'F1B015026','TPB14212','C+','B','2015/2016'
'F1B015027','TPB14212','B','A','2015/2016'
'F1B015028','TPB14212','D','B','2015/2016'
'F1B015029','TPB14212','D','A','2015/2016'
'F1B015030','TPB14212','D+','B','2015/2016'
'F1B015031','TPB14212','B','A','2015/2016'
'F1B015032','TPB14212','C+','B','2015/2016'
'F1B015033','TPB14212','C','A','2015/2016'
'F1B015034','TPB14212','C','B','2015/2016'
'F1B015035','TPB14212','B','A','2015/2016'
'F1B015036','TPB14212','C+','B','2015/2016'
'F1B015037','TPB14212','C+','A','2015/2016'
'F1B015038','TPB14212','C','B','2015/2016'
'F1B015039','TPB14212','C+','A','2015/2016'
'F1B015040','TPB14212','B+','B','2015/2016'
'F1B015041','TPB14212','C+','A','2015/2016'
'F1B015042','TPB14212','D','B','2015/2016'
'F1B015043','TPB14212','B+','A','2015/2016'
'F1B015044','TPB14212','D+','B','2015/2016'
'F1B015046','TPB14212','C','B','2015/2016'
'F1B015047','TPB14212','C+','A','2015/2016'
'F1B015048','TPB14212','D+','B','2015/2016'
'F1B015049','TPB14212','C','A','2015/2016'
'F1B015050','TPB14212','B','B','2015/2016'
'F1B015051','TPB14212','B','A','2015/2016'
'F1B015052','TPB14212','C','B','2015/2016'
'F1B015053','TPB14212','C+','A','2015/2016'
'F1B015055','TPB14212','B','A','2015/2016'
'F1B015056','TPB14212','C+','B','2015/2016'
'F1B015057','TPB14212','C+','A','2015/2016'
'F1B015058','TPB14212','B','B','2015/2016'
'F1B015059','TPB14212','A','A','2015/2016'
'F1B015060','TPB14212','B','B','2015/2016'
'F1B015062','TPB14212','B','B','2015/2016'
'F1B015063','TPB14212','C+','A','2015/2016'
